콘텐츠ID,콘텐츠분류,제목,언어,타이틀SEO,연관콘텐츠,탐나오연동여부,평점,소셜네트워크URL,조회수,외부검색어,좋아요수,리뷰수,북마크수,일정등록수,다녀왔어요수,PC사용여부,모바일사용여부,공개여부,작성상태,사용여부,영문PC사용여부,중문PC사용여부,일문PC사용여부,영문작성상태,중문작성상태,일문작성상태,영문공개여부,중문공개여부,일문공개여부,영문모바일사용여부,중문모바일사용여부,등록일시,SNS공유수,인기점수,등록일시_1,템플릿여부,번역요청일시,영문번역요청일시,중문번역요청일시,일문번역요청일시,페이지SEO자동여부,영문페이지SEO자동여부,중문페이지SEO자동여부,일문페이지SEO자동여부,사진공유수,번체PC사용여부,말레이어PC사용여부,번체작성상태,말레이어작성상태,번체공개여부,말레이어공개여부,번체모바일사용여부,말어모바일사용여부,번체승인일시,말레이어승인일시,번체번역요청일시,말레이어번역요청일시,번체SEO자동여부,말레이어SEO자동여부
CNTS_000000000021903,숙박,해피펜션,국문,해피펜션,,y,,blog.naver.com/happycho25,759,,0,0,1,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2017-04-25,0,1518,13355821,n,2017-04-25,2017-04-25,2017-04-25,2017-04-25,y,n,n,n,,,,,,,,,,,,,,,
CONT_000000000501391,음식점,탐라 뚝배기,국문,탐라 뚝배기,,y,,,2569,,0,0,11,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,1,5138,9260635,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-09-11,,2019-09-11,,y,
CONT_000000000501399,음식점,토담골,국문,토담골,,y,,,1452,,0,0,4,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,2904,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-09-09,,2019-09-09,,y,
CNTS_000000000018301,음식점,우유부단,국문,우유부단,,y,5,,19738,,10,38,225,0,1,y,y,y,y,y,y,y,y,y,y,y,n,n,n,y,y,2016-10-06,5,39696,10716980,n,2016-10-06,2016-10-06,2016-10-06,2016-10-06,y,n,n,n,51,y,,y,,n,,y,,,,2019-02-25,,n,
CNTS_000000000020277,관광지,공천포,국문,공천포,,y,4,,3850,,0,9,19,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-11-16,1,7745,,n,2016-11-16,2016-11-16,2016-11-16,2016-11-16,y,n,n,n,18,,,,,,,,,,,,,,
CNTS_000000000022057,음식점,명당양과,국문,명당양과,,y,5,https://www.facebook.com/mdang1980/,10153,,20,9,59,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2017-07-04,6,20411,9378615,n,2017-07-04,2018-11-02,2018-11-02,2018-11-02,y,y,y,y,,y,,y,,y,,y,,,,2019-02-25,,y,
CONT_000000000500553,관광지,제주민속촌,국문,제주민속촌,,y,5,,47560,,6,36,449,0,3,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,14,95318,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,69,y,y,y,y,y,y,y,y,2019-09-03,2019-09-03,2019-09-03,2019-09-03,y,y
CONT_000000000500556,관광지,제주빅볼랜드,국문,제주빅볼랜드,,y,5,,36634,,4,2,154,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,25,73290,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-07-22,,2019-07-22,,y,
CONT_000000000500180,관광지,마오름(맞보기)(안덕),국문,마오름(맞보기)(안덕),,y,,,900,,0,0,0,0,0,y,y,n,y,y,y,y,y,y,y,y,n,n,n,y,y,2016-05-30,0,1800,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,n,,y,,2019-07-22,,2019-07-22,,y,
CNTS_000000000020390,숙박,빠담빠담게스트하우스,국문,빠담빠담게스트하우스,,y,5,,3789,,1,5,2,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-11-18,0,7606,8705742,n,2016-11-18,2016-11-18,2016-11-18,2016-11-18,y,n,y,y,3,y,,y,,y,,y,,,,2020-08-31,,y,
CNTS_000000000020657,음식점,땅꼬분식 뷔페,국문,땅꼬분식 뷔페,,y,3,,3850,,0,1,14,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-11-24,2,7705,,n,2016-11-24,2016-11-24,2016-11-24,2016-11-24,y,n,n,n,1,,,,,,,,,,,,,,
CONT_000000000500055,관광지,"과오름(큰오름, 샛오름, 말젯오름)",국문,"과오름(큰오름, 샛오름, 말젯오름)",,y,,,2279,,0,0,1,0,0,y,y,n,y,y,y,y,y,y,y,y,n,n,n,y,y,2016-05-30,1,4558,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,n,,y,,2019-07-22,,2019-07-22,,y,
